id,scheme_id,entitlement_id,description,value_min,value_max,unit,effective_note,source_url,accessed,confidence,volatile
E01,S05,annual_amount,PM-KISAN annual direct income support,6000,6000,rupees per year,"paid in 3 instalments of Rs 2000 each; a Rs 8000 increase was reported as under discussion but not enacted as of this session",https://tradebrains.in/money/pm-kisan-scheme-provides-6000-annual-support-for-farmers-eligibility-benefits-and-more/,2026-08-17,high,true
E02,S05,installment_count,PM-KISAN number of instalments per year,3,3,instalments,Rs 2000 per instalment,https://tradebrains.in/money/pm-kisan-scheme-provides-6000-annual-support-for-farmers-eligibility-benefits-and-more/,2026-08-17,high,true
E03,S05,installment_amount,PM-KISAN amount per instalment,2000,2000,rupees,,https://tradebrains.in/money/pm-kisan-scheme-provides-6000-annual-support-for-farmers-eligibility-benefits-and-more/,2026-08-17,high,true
E04,S02,coverage_amount,PM-JAY health cover per family per year,500000,500000,rupees per family per year,"secondary/tertiary care hospitalisation; Delhi's own state-topped-up scheme separately doubles this to Rs 10 lakh - not a universal-everywhere figure",https://oncolifehospitals.com/blog/govt-scheme-pmjay/,2026-08-17,high,true
E05,S18,phh_monthly_allowance,NFSA Priority Household foodgrain entitlement,5,5,kg per person per month,"currently enacted figure; a draft National Food Security (Amendment) Bill 2026 is in public consultation as of this session and could change AAY (not PHH) entitlements - see E06",https://mahafood.gov.in/en/national-food-security-act-2013/,2026-08-17,high,true
E06,S18,aay_monthly_allowance,NFSA Antyodaya Anna Yojana (AAY) household foodgrain entitlement,35,35,kg per household per month,"currently enacted flat-per-household figure; the draft 2026 amendment bill proposes changing this to 7 kg/person capped at 35 kg/household - not yet enacted as of this session, flagged as a live volatility risk",https://www.nextias.com/ca/current-affairs/27-06-2026/nfsa-amendment-bill-2026,2026-08-17,high,true
E07,S01,days_guarantee,MGNREGA guaranteed employment per household per year,100,100,days per household per year,,https://byjus.com/ias-questions/when-was-nrega-renamed-mgnrega/,2026-08-17,high,true
E08,S04,premium_kharif,PMFBY farmer premium share - kharif crops,2,2,percent of sum insured,"see also src/bharat_units/registry/season_windows.csv for kharif's own sowing/harvest definition (C4xC6 cross-link)",https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1776583,2026-08-17,high,true
E09,S04,premium_rabi,PMFBY farmer premium share - rabi food/oilseed crops,1.5,1.5,percent of sum insured,"see also src/bharat_units/registry/season_windows.csv for rabi's own sowing/harvest definition (C4xC6 cross-link)",https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1776583,2026-08-17,high,true
E10,S04,premium_commercial_horticultural,PMFBY farmer premium share - commercial/horticultural crops,5,5,percent of sum insured,,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1776583,2026-08-17,high,true
E11,S19,shishu_tier,MUDRA Shishu tier loan limit,0,50000,rupees,,https://paytm.com/blog/saving-schemes/government-schemes/mudra-loan-scheme-comparison-eligibility-maximum-loan/,2026-08-17,high,true
E12,S19,kishor_tier,MUDRA Kishor tier loan limit,50000,500000,rupees,,https://paytm.com/blog/saving-schemes/government-schemes/mudra-loan-scheme-comparison-eligibility-maximum-loan/,2026-08-17,high,true
E13,S19,tarun_tier,MUDRA Tarun tier loan limit,500000,1000000,rupees,,https://paytm.com/blog/saving-schemes/government-schemes/mudra-loan-scheme-comparison-eligibility-maximum-loan/,2026-08-17,high,true
E14,S19,tarun_plus_tier,MUDRA Tarun Plus tier loan limit,1000000,2000000,rupees,"added in the Union Budget 2024 (July 2024); for entrepreneurs with a clean repayment record on a prior Tarun loan - the newest tier, likely unknown to a model trained before mid-2024",https://static.pib.gov.in/WriteReadData/specificdocs/documents/2024/oct/doc20241029426401.pdf,2026-08-17,high,true
