id,unit,aliases,variant,region,grams,confidence,source_url,accessed
TM01,tola,tolah,,,11.6638,high,https://en.wikipedia.org/wiki/Tola_(unit),2026-08-14
TM02,seer,ser,trade_customary,,933.1,high,https://en.wikipedia.org/wiki/Seer_(unit),2026-08-14
TM03,seer,ser,statutory_1956,,933.104304,high,https://en.wikipedia.org/wiki/Seer_(unit),2026-08-14
TM04,chhatak,chatak;chhataank,,,58.32,high,https://en.wikipedia.org/wiki/Seer_(unit),2026-08-14
TM05,pav,pao,,,233.28,high,https://en.wikipedia.org/wiki/Pao_(unit),2026-08-14
TM06,adha_pav,adh-pav;half-pav,,,116.64,high,https://en.wikipedia.org/wiki/Pao_(unit),2026-08-14
TM07,ratti,rati,sunari,,0.12125,high,https://en.wikipedia.org/wiki/Ratti_(unit),2026-08-14
TM08,ratti,rati,pakki,,0.18225,high,https://en.wikipedia.org/wiki/Ratti_(unit),2026-08-14
TM09,masha,,,,0.97,medium,https://en.wikipedia.org/wiki/Ratti_(unit),2026-08-14
TM10,maund,man,,Bengal,37324,medium,https://www.sizes.com/units/maund_india.htm,2026-08-14
TM11,maund,man,,Punjab,36740,medium,https://www.sizes.com/units/maund_india.htm,2026-08-14
TM12,maund,man,,standard,37324,medium,https://www.sizes.com/units/maund_india.htm,2026-08-14
TM13,maund,man,,,,unresolvable,https://www.sizes.com/units/maund_india.htm,2026-08-14
TM14,candy,khandi;maunee,,,,unresolvable,https://en.wikipedia.org/wiki/Candy_(unit),2026-08-14
TM15,cotton_bale,bale,,India,170000,high,https://lydenim.com/international-cotton-bale-weights-and-common-conversion-units-guide/,2026-08-14
TM16,jute_bale,bale,,India,180000,medium,https://www.facebook.com/ICARJRFQUES/,2026-08-14
TM17,peti,crate,,,,unresolvable,,2026-08-14
