scheme_id,name,abbreviation,expansion_note,ministry,launch_date,predecessor,classification,source_url,accessed,confidence
S01,Mahatma Gandhi National Rural Employment Guarantee Act,MGNREGA,self-descriptive; renamed from NREGA,Rural Development,2009-10-02,NREGA (launched 2006-02-02),Centrally Sponsored,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=53159&reg=48&lang=2,2026-08-17,high
S02,Pradhan Mantri Jan Arogya Yojana,PM-JAY,self-descriptive; operates under Ayushman Bharat,Health and Family Welfare,2018-09-23,National Health Protection Scheme (interim name); subsumed Rashtriya Swasthya Bima Yojana (RSBY, 2008),Centrally Sponsored,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1546948&reg=48&lang=2,2026-08-17,high
S03,Pradhan Mantri Awaas Yojana - Gramin,PMAY-G,self-descriptive,Rural Development,2016-04-01,Indira Awaas Yojana,Centrally Sponsored,https://pmayg.dord.gov.in/,2026-08-17,high
S04,Pradhan Mantri Fasal Bima Yojana,PMFBY,self-descriptive,Agriculture and Farmers Welfare,2016-02-18,,Centrally Sponsored,https://www.mygov.in/campaigns/pmfby,2026-08-17,high
S05,Pradhan Mantri Kisan Samman Nidhi,PM-KISAN,self-descriptive,Agriculture and Farmers Welfare,2019-02-24,,Central Sector (100% Centre-funded),https://ladakh.gov.in/scheme/pradhan-mantri-kisan-samman-nidhi-pm-kisan/,2026-08-17,high
S06,Pradhan Mantri Garib Kalyan Anna Yojana,PMGKAY,self-descriptive,Consumer Affairs Food and Public Distribution,2020-03-26,,Central Sector,https://www.impriindia.com/insights/pm-garib-kalyan-anna/,2026-08-17,high
S07,Pradhan Mantri Jan Dhan Yojana,PMJDY,self-descriptive; National Mission for Financial Inclusion,Finance (Department of Financial Services),2014-08-28,,Central Sector,https://www.pib.gov.in/newsite/printrelease.aspx?relid=126439,2026-08-17,high
S08,Jal Jeevan Mission,JJM,self-descriptive,Jal Shakti,2019-08-15,,Centrally Sponsored,https://water.maharashtra.gov.in/en/scheme/jal-jeevan-mission-details/,2026-08-17,high
S09,PM Vishwakarma,,self-descriptive; for traditional artisans/craftspeople,Micro Small and Medium Enterprises,2023-09-17,,Central Sector,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2043187&reg=48&lang=2,2026-08-17,high
S10,PM Surya Ghar: Muft Bijli Yojana,,self-descriptive; rooftop solar,New and Renewable Energy,2024-02-13,,Central Sector,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2010130&reg=3&lang=2,2026-08-17,high
S11,PM Street Vendor's AtmaNirbhar Nidhi,PM-SVANidhi,self-descriptive,Housing and Urban Affairs,2020-06-01,,Central Sector,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1946307&reg=48&lang=2,2026-08-17,high
S12,Pradhan Mantri Ujjwala Yojana,PMUY,self-descriptive; deposit-free LPG connections for poor households,Petroleum and Natural Gas,2016-05-01,,Centrally Sponsored,https://www.pmuy.gov.in/about.html,2026-08-17,high
S13,Ujjawala,,"prevention of trafficking; rescue, rehabilitation, re-integration and repatriation of victims of commercial sexual exploitation",Women and Child Development,2007-01-01,,Centrally Sponsored,https://wcd.nic.in/schemes/ujjawala-comprehensive-scheme-prevention-trafficking-and-rescue-rehabilitation-and-re,2026-08-17,medium
S14,Stand-Up India,,loans for greenfield SC/ST and women entrepreneurs,Finance (Department of Financial Services),2016-04-05,,Centrally Sponsored,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2119045&reg=3&lang=2,2026-08-17,high
S15,Startup India,,innovation/entrepreneurship ecosystem support,Commerce and Industry (DPIIT),2016-01-16,,not a funding scheme - a policy initiative/action plan,https://www.startupindia.gov.in/content/sih/en/about_us/about-us.html,2026-08-17,high
S16,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,DAY-NRLM,renamed from NRLM (launched 2011-06-01) in November 2015,Rural Development,2015-11-01,National Rural Livelihoods Mission (NRLM); NRLM itself restructured Swarnajayanti Gram Swarozgar Yojana (SGSY),Centrally Sponsored,https://www.nabard.org/content1.aspx?id=582&catid=23&mid=23,2026-08-17,high
S17,Deendayal Antyodaya Yojana - National Urban Livelihoods Mission,DAY-NULM,renamed from NULM effective 2016-02-19,Housing and Urban Affairs,2016-02-19,National Urban Livelihoods Mission (NULM),Centrally Sponsored,https://www.indiascienceandtechnology.gov.in/st-visions/national-mission/deendayal-antyodaya-yojana-national-urban-livelihoods-mission-day-nulm,2026-08-17,medium
S18,National Food Security Act,NFSA,self-descriptive; legal entitlement to subsidised foodgrain,Consumer Affairs Food and Public Distribution,2013-07-05,,Act (statutory entitlement, not a CSS/Central-Sector scheme),https://nfsa.gov.in/portal/nfsa-act,2026-08-17,high
S19,Pradhan Mantri Mudra Yojana,PMMY,self-descriptive; micro-loans in Shishu/Kishor/Tarun/Tarun Plus tiers,Finance (Department of Financial Services),2015-04-08,,Central Sector,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2069170&reg=3&lang=2,2026-08-17,medium
